2021-09-10,9.85,9.9,9.9,9.85,50298
2021-09-13,9.95,9.894,9.95,9.87,12234
2021-09-14,9.92,9.906,9.93,9.87,221233
2021-09-15,9.92,9.9,9.9,9.9,30113
2021-09-16,9.9,9.925,9.925,9.9,100255
2021-09-17,9.95,9.94,9.95,9.93,910108
2021-09-20,9.95,9.93,10.0,9.93,104708
2021-09-21,9.95,9.95,9.95,9.95,399276
2021-09-22,9.98,9.95,9.98,9.95,62472
2021-09-23,9.95,9.95,9.97,9.95,96553
2021-09-24,10.65,9.961,10.65,9.961,552
2021-09-27,9.98,9.95,9.98,9.95,24520
2021-09-28,9.9718,9.98,9.98,9.9718,8748
2021-09-29,9.975,9.98,9.98,9.97,1071
2021-09-30,NaN,9.98,NaN,NaN,68
2021-10-01,9.98,9.95,9.98,9.95,2414
2021-10-04,9.97,9.97,9.97,9.97,849
2021-10-05,9.95,9.97,9.97,9.95,5284
2021-10-06,9.99,9.97,10.0,9.965,10103
2021-10-07,10.01,9.95,10.01,9.95,417
2021-10-08,NaN,9.95,NaN,NaN,400034
2021-10-11,NaN,9.95,NaN,NaN,13
2021-10-12,9.96,9.96,9.96,9.96,140
2021-10-13,9.97,9.96,9.99,9.96,1751
2021-10-14,9.99,9.98,10.03,9.98,255340
2021-10-15,9.97,9.97,9.97,9.97,3570
2021-10-18,9.96,9.93,9.97,9.93,439137
2021-10-19,9.97,9.96,10.01,9.96,3016
2021-10-20,9.94,9.96,9.96,9.94,820
2021-10-21,9.94,9.94,9.94,9.94,4900
2021-10-22,9.96,9.98,9.98,9.95,16421
2021-10-25,9.94,10.0,10.0,9.94,26087
2021-10-26,10.0,9.98,10.0,9.98,12115
2021-10-27,10.03,9.9986,10.03,9.9986,345
2021-10-28,10.0,10.0,10.0,10.0,75022
2021-10-29,9.99,10.0,10.0,9.99,5024
2021-11-01,NaN,10.0,NaN,NaN,38
2021-11-02,10.01,9.9917,10.01,9.99,14280
2021-11-03,10.04,9.98,10.04,9.98,642
2021-11-04,9.9967,10.02,10.02,9.9967,871
2021-11-05,NaN,10.02,NaN,NaN,8
2021-11-08,10.01,10.01,10.01,10.01,390
2021-11-09,10.02,10.01,10.02,10.01,760
2021-11-10,10.02,10.0,10.02,10.0,997
2021-11-11,10.019,10.01,10.019,10.01,290
2021-11-12,10.0,9.99,10.0,9.99,3266
2021-11-15,10.05,10.0089,10.05,10.0089,920
2021-11-16,9.99,9.99,9.99,9.99,129
2021-11-17,10.01,9.99,10.02,9.99,1473
2021-11-18,10.0,9.99,10.0,9.99,5083
2021-11-19,9.9941,10.0,10.0,9.9941,5861
2021-11-22,NaN,10.0,NaN,NaN,25
2021-11-23,10.05,9.99,10.05,9.98,47476
2021-11-24,9.95,10.0,10.0,9.94,3506
2021-11-26,10.03,10.03,10.04,10.03,1801
2021-11-29,10.02,9.98,10.02,9.98,3770
2021-11-30,9.98,10.0,10.01,9.98,5010
2021-12-01,10.0,10.0,10.0,9.98,2051
2021-12-02,10.03,9.99,10.03,9.98,11461
2021-12-03,10.01,10.0,10.01,9.98,3481
2021-12-06,10.03,9.99,10.03,9.97,1037
2021-12-07,9.97,9.97,9.97,9.97,357
2021-12-08,9.985,9.98,9.985,9.98,1079
2021-12-09,9.99,9.99,9.99,9.99,269
2021-12-10,10.0,10.0,10.0,10.0,188
2021-12-13,9.96,9.98,9.98,9.96,24593
2021-12-14,10.01,10.01,10.01,10.0,6842
2021-12-15,10.02,9.98,10.02,9.97,2672
2021-12-16,10.0,9.98,10.0,9.966,971
2021-12-17,9.99,9.98,9.99,9.97,7196
2021-12-20,NaN,9.98,NaN,NaN,21
2021-12-21,10.0,9.97,10.0,9.97,524
2021-12-22,9.99,9.99,10.0,9.96,106458
2021-12-23,10.02,10.0,10.02,10.0,5201
2021-12-27,10.03,10.04,10.04,10.02,4993
2021-12-28,NaN,10.04,NaN,NaN,4
2021-12-29,9.97,9.97,9.97,9.97,677
2021-12-30,NaN,9.97,NaN,NaN,6
2021-12-31,9.99,9.99,10.005,9.99,6414
2022-01-03,10.02,9.99,10.51,9.99,23868
2022-01-04,9.98,9.98,9.98,9.98,2040
2022-01-05,NaN,9.98,NaN,NaN,8
2022-01-06,NaN,9.98,NaN,NaN,11
2022-01-07,10.0049,10.0049,10.0049,10.0049,101
2022-01-10,10.0,9.99,10.0,9.99,199000
2022-01-11,9.98,9.99,9.99,9.98,5116
2022-01-12,10.46,10.02,10.46,10.0087,2474
2022-01-13,10.0,9.99,10.0,9.99,100622
2022-01-14,10.0,9.99,10.0,9.99,500
2022-01-18,9.99,9.99,9.99,9.99,468
2022-01-19,NaN,9.99,NaN,NaN,1
2022-01-20,10.01,10.01,10.01,10.01,25008
2022-01-21,NaN,10.01,NaN,NaN,34
2022-01-24,9.98,10.02,10.04,9.98,20863
2022-01-25,9.99,9.99,9.99,9.99,218
2022-01-27,9.99,9.99,9.99,9.99,203
2022-01-28,10.0,10.02,10.02,10.0,6131
2022-01-31,10.04,10.04,10.04,10.01,2303
2022-02-01,10.0,10.0,10.0,10.0,202
2022-02-03,10.02,10.02,10.04,10.02,45239
2022-02-09,10.04,10.03,10.04,10.03,312
2022-02-11,10.02,10.02,10.02,10.02,192
2022-02-14,10.02,10.03,10.04,10.02,1210
2022-02-15,10.02,10.02,10.02,10.02,220
2022-02-16,10.02,10.02,10.02,10.02,237
2022-02-18,10.05,10.04,10.05,10.02,2634
2022-02-22,10.54,10.02,10.54,10.02,6579
2022-02-23,10.0,10.05,10.05,10.0,5532
2022-02-24,10.03,10.03,10.04,10.03,6498
2022-02-25,10.04,10.04,10.05,10.03,7681
2022-02-28,10.04,10.04,10.04,10.04,235
2022-03-01,10.04,10.03,10.04,10.03,6026
2022-03-02,10.03,10.05,10.05,10.03,426
2022-03-04,10.05,10.0505,10.0505,10.05,2762
2022-03-07,10.045,10.05,10.05,10.045,7565
2022-03-08,10.04,10.05,10.05,10.04,3887
2022-03-10,10.05,10.06,10.06,10.05,1629
