2018-11-07,20.04,20.1641,20.1641,20.04,4775
2018-11-08,20.11,19.7001,20.11,19.7001,4704
2018-11-09,18.9989,18.91,19.02,18.91,819
2018-11-12,18.98,18.39,18.98,18.39,2400
2018-11-13,18.78,18.7725,18.78,18.64,885
2018-11-14,18.95,19.03,19.05,18.867,8064
2018-11-15,19.17,19.4268,19.4295,19.17,1312
2018-11-16,19.34,19.34,19.34,19.3272,675
2018-11-19,18.85,18.85,18.85,18.85,300
2018-11-20,18.4,18.4,18.4,18.4,251
2018-11-21,18.8,18.82,18.91,18.8,2381
2018-11-23,18.74,18.78,18.82,18.74,2764
2018-11-26,19.28,19.4099,19.41,19.28,2654
2018-11-27,19.3657,19.3657,19.3657,19.3657,128
2018-11-28,19.78,19.78,19.78,19.78,300
2018-11-29,19.75,19.8176,19.8176,19.75,450
2018-11-30,19.82,19.82,19.82,19.82,110
2018-12-03,20.4275,20.36,20.4275,20.36,2435
2018-12-04,20.1324,19.67,20.1324,19.67,2705
2018-12-06,19.13,19.1708,19.1708,19.0385,5521
2018-12-07,19.62,19.14,19.62,19.14,400
2018-12-10,19.06,19.07,19.08,19.0172,1657
2018-12-11,19.02,19.28,19.28,19.02,14271
2018-12-12,19.79,19.79,19.79,19.6392,751
2018-12-13,19.51,19.51,19.51,19.51,100
2018-12-14,19.35,19.16,19.35,19.155,2500
2018-12-17,18.82,18.605,18.82,18.6,1782
2018-12-20,NaN,18.605,NaN,NaN,1
2018-12-21,18.59,17.73,18.59,17.73,2675
2018-12-24,17.9237,17.9237,17.9237,17.9237,1000
2018-12-26,17.93,17.93,17.93,17.93,137
2018-12-27,18.3,18.3,18.3,18.3,306
2018-12-31,18.69,18.3586,18.69,18.3586,3100
2019-01-02,18.39,18.36,18.415,18.36,11654
2019-01-03,17.93,17.85,17.93,17.85,407
2019-01-04,18.71,18.829,18.829,18.71,701
2019-01-07,19.2199,19.21,19.2199,19.16,2196
2019-01-08,19.14,19.14,19.14,19.14,175
